Video/ Audio,URL,Transit relevent ?,Count - video(past 12 months),Count - Meetings (past 12 months),Transportation Commission/City Counsil/ Planning Commission?,Mentioned Transportation Topic?,Transportation Commission Existed?,Transportation Commission video posted (>2 in the last year)?,"If no transportation commission, other meetings posted?",NAME2,AgencyName,NTDID,orgtype,pop,reptype,VOMS,mile,revenue,survey_response,Density,County,id,Contact Name,Email.x,Transit Operating Expense,size,CTA,Founded,OrgName,Organization Type,Website,Address,Zip,Phone,Primary Contact - Title,CALACT,Contact,Email.y,CATEGORY,OT,City
Granicus,https://www.riovistacity.com/citycouncil/page/meeting-agenda-attachments-minutes-video,No,42,,,,,,,Rio Vista,City of Rio Vista,9R02-91014,Local Government,,Rural Reporter,3,,,0,,Solano,Suburban City,,,,,,,"Rio Vista, City of",Local or Regional Government Agency,http://rio-vista-ca.com,1 Harbor Center Ste 130,94585,707-399-3234,Transit Mobility Coordinator,CALACT Member,Brandon Thomson,bthomson@sta.ca.gov,,Local Government,Rio Vista
Granicus,https://riversideca.legistar.com/Calendar.aspx,Yes,270,343,Yes/ Yes/ Yes,Transportation Board,Yes. Transportation Board,4 posted,Has video for all the commission/ board/ committee,Riverside,,,Local Government,,,,,,1,,,,,,,,,,"Riverside, City of",Local Government,http://www.riversideca.gov,3900 Main Street,92522,951-351-6182,Transit Manager,CALACT Member,Ron Profeta,rprofeta@riversideca.gov,Local Government,Local Government,Riverside
YouTube,https://www.youtube.com/@RCTC/streams,No,8,,,,,,,Riverside County Transportation Commission,Riverside County Transportation Commission,90218,MPO/RTPA,1800000,Full Reporter,49,2100,282674,1,3546,Riverside,Principal City,,,,,,,Riverside County Transportation Commission,MPO/RTPA,https://www.rctc.org/,4080 Lemon Street 3rd Flr,92501,951-787-7141,Multi Modal Services Director,CALACT Member,Llrelle Moe-Luna,lmoe-luna@rctc.org,MPO/RTPA,MPO/RTPA,Riverside
YouTube,https://www.youtube.com/@RiversideTransit/streams,No,20,,,,,,,Riverside Transit Agency,Riverside Transit Agency,90031,Independent Public Agency,2018724,Full Reporter,293,2725,84611533,1,3546,Riverside,Principal City,Jim Kneepkens,Jkneepkens@RiversideTransit.com,79372860,medium,CTA Member,,Riverside Transit Agency,Public Operator,http://www.riversidetransit.com,1825 Third Street,92507,951-565-5000,Contract Operations Manager,CALACT Member,Stephanie Sirls,ssirls@riversidetransit.com,,Independent Public Agency,Riverside
No,,,,,,,,,,Rosemead,City of Rosemead,90289,Local Government,54908,Reduced Reporter,5,5,817427,0,6999,Los Angeles,Suburban City,,,,,,,"Rosemead, City of",Local or Regional Government Agency,http://cityofrosemead.org,8838 East Valley Blvd,91770,626-569-2117,Admisitrative Analtst,CALACT Member,Silvia Llamas,sllamas@cityofrosemead.org,,Local Government,Rosemead
YouTube,https://www.youtube.com/@CityofRosevilleCa,Yes,74,,,,,,,Roseville,City of Roseville,90168,Local Government,137213,Reduced Reporter,24,43,8556046,0,3660,Placer,Principal City,Mike Dour,mdour@roseville.ca.us,5749314,small,CTA Member,,"Roseville, City of",Local Government,http://www.roseville.ca.us/transit,316 Vernon Street Ste 150,95678,916-774-5293,Transportation Manager,CALACT Member,Mike Dour,mdour@roseville.ca.us,Local Government,Local Government,Roseville
YouTube,https://www.youtube.com/@SacramentoAreaCOG,Yes,49,,,,,,,Sacramento Area COG (SACOG),Sacramento Area COG (SACOG),,MPO/RTPA,,,,6189,,0,,,,,,,,,1967,,,,,,,,,,,,MPO/RTPA,Sacramento
No,,,,,,,,,,Sacramento County Department of Transportation,,,Independent Public Agency,,,,,,0,,,,,,,,,,Sacramento County Department of Transportation,Public Operator,www.sacdot.com,4111 Branch Center Road,95827,916-874-6291,Transit and Bicycle Coordinator,CALACT Member,Mikki McDaniel,mcdanielm@saccounty.net,,Independent Public Agency,Sacramento
YouTube,https://www.youtube.com/@sacramentoregionaltransit7384/streams,No,14,,,,,,,Sacramento Regional Transit District,Sacramento Regional Transit District,90019,Independent Public Agency,1031946,Full Reporter,232,226,182219059,0,3660,Sacramento,Principal City,Henry Li,hli@sacrt.com,167750861,large,CTA Member,,Sacramento Regional Transit District,Public Operator,http://www.sacrt.com,1400  29th Street,95812,916-556-0140,"VP, Operations",CALACT Member,Carmen Alba,calba@sacrt.com,,Independent Public Agency,Sacramento
No,,,,,,,,,,San Benito County LTA,San Benito County LTA,9R02-91009,Independent Public Agency,,Rural Reporter,18,,,1,,San Benito,Small Rural City,,,,,,,San Benito Local Transportation Authority,Public Operator,http://www.SanBenitoCountyExpress.org,330 Tres Pinos Road Ste C7,95023,831-637-7665,Transportation Planner,CALACT Member,Regina Valentine,regina@sanbenitocog.org,,Independent Public Agency,Hollister
YouTube,https://www.youtube.com/c/sandagmeetings,Yes,227,,,,,,,San Diego Association of Governments (SANDAG),San Diego Association of Governments (SANDAG),,MPO/RTPA,,,,4260,,0,,,,,,,,,1972,San Diego Association of Governments (SANDAG),Local or Regional Government Agency,http://www.sandag.org,401 B Street Ste 800,92101,619-699-1900,Senior Transit Planner,CALACT Member,Brian Lane,bla@sandag.org,,MPO/RTPA,San Diego
Own Website,http://meetings.sbcag.org,No,10,,,,,,,San Diego Metropolitan Transit System,San Diego Metropolitan Transit System,90026,Independent Public Agency,2462707,Full Reporter,793,720,420980160,1,4037,San Diego,Principal City,Sharon Cooney,Sharon.cooney@sdmts.com,287965111,large,CTA Member,,San Diego Metropolitan Transit System,Public Operator,http://www.sdmts.com,1255 Imperial Avenue Ste 1000,92101,619-238-0100,Manager of Paratransit,CALACT Member,Jay Washburn,jay.washburn@sdmts.com,,Independent Public Agency,San Diego
Granicus,https://bart.legistar.com/Calendar.aspx,Yes,37,118,,,,,,San Francisco Bay Area Rapid Transit District,San Francisco Bay Area Rapid Transit District,90003,Independent Public Agency,1834004,Full Reporter,566,113,1267968890,0,6266,Alameda,Principal City,Roddrick Lee,rlee@bart.gov,746607508,large,CTA Member,,,,,,,,,,,,,Independent Public Agency,Oakland
YouTube,https://www.youtube.com/@SanFranciscoBayFerry/videos,No,12,,,,,,,San Francisco Bay Area Water Emergency Transportation Authority,San Francisco Bay Area Water Emergency Transportation Authority,90225,Independent Public Agency,281832,Full Reporter,10,127,138686602,0,6266,San Francisco,Principal City,,,,,,,,,,,,,,,,,,Independent Public Agency,San Francisco
YouTube,https://www.youtube.com/@SanJoaquinCountyCA,No,55,,,,,,,San Joaquin COG (SJCOG),San Joaquin COG (SJCOG),,MPO/RTPA,,,,1425,,0,,,,,,,,,1968,,,,,,,,,,,,MPO/RTPA,Stockton
No,,,,,,,,,,San Joaquin Regional Transit District,San Joaquin Regional Transit District,90012,Independent Public Agency,744835,Full Reporter,92,1426,47075745,0,4005,San Joaquin,Principal City,,,,,,,San Joaquin Regional Transit District,Public Operator,http://www.sanjoaquinrtd.com,PO Box 201010,95201,209-943-1111,Deputy CEO,CALACT Member,Kimberly Gayle,kgayle@sanjoaquinrtd.com,,Independent Public Agency,Stockton
YouTube,https://www.youtube.com/c/CityofSanLuisObispo,No,42,,No/ Yes/ Yes,City Council/ Planning Commission,No,Not Applicable,"Yes. City Council, Planning Commission",San Luis Obispo,City of San Luis Obispo,90156,Local Government,46997,Full Reporter,12,22,3581723,0,2901,San Luis Obispo,Principal City,Megan Weeks,mweeks@slocity.org,3887648,small,CTA Member,,"San Luis Obispo, City of (SLO Transit)",Local or Regional Government Agency,http://www.slotransit.org,919 Palm Street,93401,805-783-7818,Transit Coordinator,CALACT Member,Megan Weeks,mweeks@slocity.org,,Local Government,San Luis Obispo
Own Website,https://slo-span.org/meeting/slocog-slorta_20230405/,Yes,3,,,,,,,San Luis Obispo COG (SLOCOG),San Luis Obispo COG (SLOCOG),,MPO/RTPA,,,,3323,,1,,,,,,,,,1992,San Luis Obispo Council of Governments,Local or Regional Government Agency,https://www.slocog.org,1114 Marsh Street,93401,805-781-4219,Mobility Planning and Programs Lead,CALACT Member,Sarah Woolsey,swoolsey@slocog.org,,MPO/RTPA,San Luis Obispo
Own Website,https://slo-span.org/meeting/slocog-slorta_20230405/,Yes,3,,,,,,,San Luis Obispo Regional Transit Authority,San Luis Obispo Regional Transit Authority,90206,Independent Public Agency,206008,Full Reporter,47,130,13203518,0,2901,San Luis Obispo,Principal City,Geoff Straw,gstraw@slorta.org,9800113,small,CTA Member,,San Luis Obispo Regional Transit Authority,Public Operator,www.slorta.org,179 Cross Street Ste A,93401,805-781-4472,Operations Manager,CALACT Member,Omar McPherson,omcpherson@slorta.org,,Independent Public Agency,San Luis Obispo
Granicus,https://www.smcta.com/about-us/board-directors/video-board-directors-cac-and-smcel-jpa,Yes,36,,,,,,,San Mateo County Transit District,San Mateo County Transit District,90009,Independent Public Agency,777905,Full Reporter,399,97,167333762,0,6266,San Mateo,Suburban City,Carter Mau,mauc@samtrans.com,138065735,large,CTA Member,,San Mateo County Transit District (SAMTRANS),Public Operator,http://www.samtrans.com,PO Box 1306,94070-1306,650-508-6247,Manager Accessible Transit Services,CALACT Member,Tina Dubost,dubostc@samtrans.com,,Independent Public Agency,San Carlos
Granicus,https://sanpablo.legistar.com/Calendar.aspx,No,34,,No/ Yes/ Yes,City Council,No,Not Applicable,"Yes. City Council, Planning Commission",San Pablo,,,Local Government,,,,,,1,,,,,,,,,,"San Pablo, City of",Local or Regional Government Agency,http://www.ci.san-pablo.ca.us/,1000 Gateway Avenue,94806,510-215-3097,Community Services Coordinator I,CALACT Member,Maria Garcia,MGarcia@sanpabloca.gov,,Local Government,San Pablo
Granicus,http://meetings.sbcag.org,No,6,,,,,,,Santa Barbara County Association of Governments (SBCAG),Santa Barbara County Association of Governments (SBCAG),,MPO/RTPA,,,,2751,,1,,,,,,,,,1966,,,,,,,,,,,,MPO/RTPA,Santa Barbara
YouTube,https://www.youtube.com/@santabarbaramtdtv/playlists,No,5,,,,,,,Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,90020,Independent Public Agency,199668,Full Reporter,93,52,28487336,0,3507,Santa Barbara,Principal City,Jerry Estrada,Jestrada@sbmtd.gov,25215320,small,CTA Member,,Santa Barbara Metropolitan Transit District,Public Operator,www.sbmtd.gov,550 Olive Street,93101,805-963-3366,General Manager,CALACT Member,Jerry Estrada,jestrada@sbmtd.gov,,Independent Public Agency,Santa Barbara
YouTube,https://www.youtube.com/@SCVTA/streams,Yes,17,,,,,,,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,90013,Independent Public Agency,1956598,Full Reporter,642,346,699549825,1,5820,Santa Clara,Principal City,Carolyn Gonot,general.manager@vta.org,439756911,large,CTA Member,,Santa Clara Valley Transportation Authority,Public Operator,http://vta.org,3331 N First Street,95134,408-321-7034,Regional Transportation Services Manager,CALACT Member,Erik Zandhuis,erik.zandhuis@vta.org,,Independent Public Agency,San Jose
YouTube,https://www.youtube.com/@transparentscv,Yes,12,,,,,,,Santa Clarita,City of Santa Clarita,90171,Local Government,252271,Full Reporter,91,78,26536819,0,3371,Los Angeles,Suburban City,Adrian Aguilar,aaguilar@santa-clarita.com,23386832,small,CTA Member,,"Santa Clarita, City of",Local Government,santaclaritatransit.com,28250 Constellation Road,91355,661-295-6300,Admin. Analyst,CALACT Member,Grace Ferguson,gferguson@santa-clarita.com,Local Government,Local Government,Santa Clarita
YouTube,https://www.youtube.com/@CTVsantacruz,Yes,187,,,,,,,Santa Cruz Metropolitan Transit District,Santa Cruz Metropolitan Transit District,90006,Independent Public Agency,274146,Full Reporter,105,446,49013366,0,2806,Santa Cruz,Principal City,Alex Clifford,aclifford@scmtd.com,53527521,medium,CTA Member,,Santa Cruz Metropolitan Transit District,Public Operator,http://www.scmtd.com,110 Vernon Street,95060,831-426-6080,Chief Executive Officer,CALACT Member,Alex Clifford,aclifford@scmtd.com,,Independent Public Agency,Santa Cruz
YouTube,https://www.youtube.com/channel/UCJmFa7tkAJ3J5D4p4SZoHvQ,No,25,,,,,,,Santa Fe Springs,,,Local Government,,,,,,0,,,,,,,,,,"Santa Fe Springs, City of",Local or Regional Government Agency,http://www.santafesprings.org,11710 Telegraph Road,90670,562-868-0511,Transportation Services Supervisor,CALACT Member,Jose Barrios,joebarrios@santafesprings.org,,Local Government,Santa Fe Springs
Own Website,https://www.cityofsantamaria.org/city-government/departments/city-clerk-records/agendas-reports-meeting-videos,No,34,,,,,,,Santa Maria,City of Santa Maria,90087,Local Government,120097,Full Reporter,26,34,8869483,1,4479,Santa Barbara,Principal City,Cindy Ransdell,cransdell@cityofsantamaria.org,3897116,small,CTA Member,,"Santa Maria, City of -Transit",Local Government,http://www.ci.santa-maria.ca.us,110 S Pine Street Ste 221,93458,805-925-0951 x2480,Management Analyst I,CALACT Member,Cindy Ransdell,cransdell@cityofsantamaria.org,Local Government,Local Government,Santa Maria
YouTube,https://www.youtube.com/@Citytv16santamonica/streams,No,69,,No/ Yes/ Yes,City Council/ Planning Commission,No,Not Applicable,"Yes. City Council, Planning Commission, Rent Control. (do not see videos for other commisions)",Santa Monica,City of Santa Monica,90008,Local Government,855918,Full Reporter,172,59,88156921,1,6999,Los Angeles,Principal City,Edward King,Ed.King@smgov.net,82884697,medium,CTA Member,,,,,,,,,,,,,Local Government,Santa Monica
YouTube,https://www.youtube.com/@CityofSantaRosa/streams,Yes,241,,,,,,,Santa Rosa,City of Santa Rosa,90017,Local Government,181594,Full Reporter,36,51,12832003,1,3146,Sonoma,Principal City,Rachel Ede,rede@srcity.org,13589657,small,CTA Member,,"Santa Rosa, City of-CityBus",Local or Regional Government Agency,http://www.srcity.org/transit,45 Stony Point Road,95401,707-543-3333,Deputy Director,CALACT Member,Rachel Ede,rede@srcity.org,,Local Government,Santa Rosa
YouTube,https://www.youtube.com/@yourSRTA,No,6,,,,,,,Shasta Regional Transportation Agency (SRTA),Shasta Regional Transportation Agency (SRTA),,MPO/RTPA,,,,3843,,0,,,,,,,,,1981,Shasta Regional Transportation Agency,Public Operator,srta@srta.ca.gov,1255 East Street Ste 202,96001,530-262-6190,Executive Director,CALACT Member,Daniel S. Little,dlittle@srta.ca.gov,,MPO/RTPA,Redding
YouTube,https://www.youtube.com/@CityOfSimiValley/streams,No,33,,,,,,,Simi Valley,City of Simi Valley,90050,Local Government,126878,Reduced Reporter,17,47,7812922,1,3983,Ventura,Suburban City,Janet Krebs,JKrebs@simivalley.org,7712839,small,CTA Member,,"Simi Valley, City of",Local or Regional Government Agency,http://www.simivalley.org/transit,2929 Tapo Canyon Road,93063,805-583-6456,Deputy Public Works Director,CALACT Member,Benjamin Gonzales,bgonzales@simivalley.org,,Local Government,Simi Valley
Own Website,https://www.co.siskiyou.ca.us/recent_meetings,No,48,128,,,,,,Siskiyou County Transit,Siskiyou County Transit,,Independent Public Agency,,,,,,0,,,,Angie Stumbaugh,astumbaugh@co.siskiyou.ca.us,2002834,small,CTA Member,,Siskiyou County (STAGE),Public Operator,http://www.co.siskiyou.ca.us/GS/stage.aspx,190 Greenhorn Road,96097,530-842-8220,Transportation Manager,CALACT Member,Angela Stumbaugh,astumbaugh@co.siskiyou.ca.us,,Independent Public Agency,Yreka
No,,,,,,,,,,Solano County Transit,Solano County Transit,90232,Independent Public Agency,149473,Full Reporter,41,65,18474403,0,3929,Solano,Principal City,Beth Kranda,beth@soltransride.com,13852413,small,CTA Member,,Solano County Transit (SOLTRANS),Public Operator,http://www.soltransride.com,311 Sacramento Street,94590,707-736-6990,Executive Director,CALACT Member,Beth Kranda,beth@soltransride.com,,Independent Public Agency,Vallejo
No,,,,,,,,,,Solano Transportation Authority,Solano Transportation Authority,,Local Government,,,,,,0,,,,Ron Grassi,rgrassi@sta.ca.gov,537512,small,CTA Member,,Solano Transportation Authority,Local or Regional Government Agency,www.sta.ca.gov,One Harbor Center Ste 130,94583,707-424-6075,Director of Programs,CALACT Member,Ron Grassi,rgrassi@sta.ca.gov,,Local Government,Suisun
Own Website,https://www.cityofsolvang.com/agendacenter,No,37,49,,,,,,Solvang,City of Solvang,9R02-91028,Local Government,,Rural Reporter,3,,,0,,Santa Barbara,Small Rural City,,,,,,,"Solvang, City of",Local Government,http://www.cityofsolvang.com/,411 Second Street,93463,805-688-5575,Public Works Director/City Engineer,CALACT Member,Matt Van Der Linden,mattv@cityofsolvang.com,Local Government,Local Government,Solvang
No,,,,,,,,,,Sonoma County Transit,Sonoma County Transit,,Independent Public Agency,,,,,,0,,,,Bryan Albee,Bkalbee@sctransit.com,15950402,small,CTA Member,,Sonoma County Transit,Public Operator,http://www.sctransit.com,355 W Robles Avenue,95407,707-585-7516,Transit Systems Manager,CALACT Member,Bryan Albee,bkalbee@sctransit.com,,Independent Public Agency,Santa Rosa
Granicus,https://www.sonomamarintrain.org/watch-board-mtg,No,20,,,,,,,Sonoma-Marin Area Rail Transit District,Sonoma-Marin Area Rail Transit District,90299,Independent Public Agency,763651,Full Reporter,11,2596,61569671,1,3146,Sonoma,Principal City,,,,,,,,,,,,,,,,,,Independent Public Agency,Petaluma
Own Website,https://southelmonteca.portal.civicclerk.com,No,16,,,,,,,South El Monte,,,Local Government,,,,,,0,,,,,,,,,,"South El Monte, City of",Local or Regional Government Agency,http://cityofsouthelmonte.org,1556 Central Avenue,91733,626-448-0131,Senior Services Supervisor,CALACT Member,Andres Gonzalez,agonzalez@soelmonte.org,,Local Government,South El Monte
Own Website,https://www.cityofsouthgate.org/Government/Public-Meetings/Agendas-and-Minutes-Archive,No,18,62,,,,,,South Gate,City of South Gate,90291,Local Government,99578,Reduced Reporter,14,8,1776673,0,6999,Los Angeles,Suburban City,,,,,,,"South Gate, City of",Local or Regional Government Agency,http://cityofsouthgate.org,4900 Southern Avenue,90280,323-563-5478,Interim Director of Parks & Recreation,CALACT Member,Steve Costley,scostley@sogate.org,,Local Government,South Gate
Own Website,https://scag.ca.gov/scag-tv-regional-council-2023-meeting-videos,No,10,,,,,,,Southern California Association of Governments (SCAG),Southern California Association of Governments (SCAG),,MPO/RTPA,,,,38649,,0,,,,,,,,,1975,,,,,,,,,,,,MPO/RTPA,Los Angeles
Granicus,https://metrolinktrains.com/about/board-meetings/agendas-documents/,No,39,,,,,,,Southern California Regional Rail Authority,Southern California Regional Rail Authority,90151,Independent Public Agency,8341002,Full Reporter,195,2291,314485845,0,6999,Los Angeles,Principal City,,,,,,,,,,,,,,,,,,Independent Public Agency,Los Angeles
No,,,,,,,,,,Stanislaus COG (StanCOG),Stanislaus COG (StanCOG),,MPO/RTPA,,,,1514,,0,,,,,,,,,1972,Stanislaus Council of Governments  (SCOG),Local or Regional Government Agency,http://stancog.org,1111 I Street Ste 308,95354,209-525-4600,Executive Director,CALACT Member,Rosa De Leon Park,rpark@stancog.org,,MPO/RTPA,Modesto
Own Website,https://www.stancounty.com/bos/agenda/2023/,No,34,,,,,,,Stanislaus Regional Transit,Stanislaus Regional Transit,90236,Independent Public Agency,547899,Reduced Reporter,29,1492,6379272,1,3898,Stanislaus,Principal City,Leticia Ortiz,ortizle@stancounty.com,6076789,small,CTA Member,,Stanislaus Regional Transit Authority,Independent Public Agency,http://www.stancog.org/srta-committee.shtm,912 11th Street,95354,209-477-7011,CEO,CALACT Member,Phil McGuire,pmcguire@stanrta.org,Independent Public Agency,Independent Public Agency,Modesto
No,,,,,,,,,,SunLine Transit Agency,SunLine Transit Agency,90079,Independent Public Agency,460275,Full Reporter,96,1120,49074315,0,2403,Riverside,Suburban City,Lauren Skiver,lskiver@sunline.org,32560810,small,CTA Member,,SunLine Transit Agency,Public Operator,http://sunline.org,32-505 Harry Oliver Trail,92276,760-343-3456,Chief Executive Officer/General Manager,CALACT Member,Lauren Skiver,lskiver@sunline.org,,Independent Public Agency,Thousand Palms
No,,,,,,,,,,Susanville Indian Rancheria,Susanville Indian Rancheria,99256,Other,,Reduced Reporter,4,,168893,0,0,Lassen,Principal City,,,,,,,,,,,,,,,,,,Other,Susanville
Youtube,https://www.youtube.com/@CityofTaft/streams,No,32,,,,,,,Taft,,,Local Government,,,,,,0,,,,,,,,,,"Taft, City of",Local or Regional Government Agency,https://www.cityoftaft.org/,209 E Kern Street,93268,661-763-1222 x118,Finance Director,CALACT Member,Teresa Binkley,tbinkley@cityoftaft.org,,Local Government,Taft
Youtube,https://www.youtube.com/@katherinehuston/videos,No,15,,,,,,,Tahoe MPO (TMPO),Tahoe MPO (TMPO),,MPO/RTPA,,,,512,,0,,,,,,,,,1998,,,,,,,,,,,,MPO/RTPA,Stateline
No,,,,,,,,,,Tahoe Transportation District,Tahoe Transportation District,,Independent Public Agency,,,,,,0,,,,Carl Hasty,Chasty@tahoetransportation.org,5895368,small,CTA Member,,,,,,,,,,,,,Independent Public Agency,
Granicus,http://tehamacountyca.iqm2.com/Citizens/Default.aspx,Yes,115,153,,,,,,Tehama County,Tehama County,9R02-91089,Local Government,,Rural Reporter,12,,,0,,Tehama,Small Rural City,,,,,,,,,,,,,,,,,,Local Government,Gerber
Own Website,http://tehamacountyca.iqm2.com/Citizens/Calendar.aspx?From=1/1/1900&To=12/31/9999,Yes,11,,,,,,,Tehama County Transportation Commission,,,MPO/RTPA,,,,,,1,,,,,,,,,,Tehama County Transportation Commission & Transit Agency Board,Local or Regional Government Agency,http://www.taketrax.com,9380 San Benito Avenue,96038,530-385-1462 x3028,Transportation Manager,CALACT Member,Jessica Riske-Gomez,jriskegomez@tehamartpa.org,,MPO/RTPA,Gerber
No,,,,,,,,,,The Eastern Contra Costa Transit Authority,The Eastern Contra Costa Transit Authority,90162,Independent Public Agency,318700,Full Reporter,78,225,29407492,1,3412,Contra Costa,Suburban City,Jeanne Krieg,Jkrieg@eccta.org,20602901,small,CTA Member,,Eastern Contra Costa Transit Authority dba Tri Delta Transit,Public Operator,http://trideltatransit.com,801 Wilbur Avenue,94509,925-754-6622,Chief Executive Officer,CALACT Member,Jeanne Krieg,jkrieg@eccta.org,,Independent Public Agency,Antioch
Own Website,https://toaks.primegov.com/public/portal,Yes,48,,,,,,,Thousand Oaks,City of Thousand Oaks,90165,Local Government,414742,Reduced Reporter,28,167,7422964,1,2509,Ventura,Principal City,Mike Houser,mhouser@toaks.org,4580283,small,CTA Member,,"Thousand Oaks, City of - Thousand Oaks Transit",Local Government,http://www.totransit.org,2100 E Thousand Oaks Blvd,91362,805-449-2494,Senior Transit Analyst,CALACT Member,Mike Houser,mhouser@toaks.org,Local Government,Local Government,Thousand Oaks
Granicus,http://torrance.granicus.com/ViewPublisher.php?view_id=8,No,28,,,,,,,Torrance,City of Torrance,90010,Local Government,606847,Full Reporter,84,103,25610872,0,6999,Los Angeles,Principal City,Kim Turner,Kturner@torranceca.gov,25104134,small,CTA Member,,,,,,,,,,,,,Local Government,Torrance
Own Website,https://www.townoftruckee.com/government/town-clerk/meeting-agendas-and-packets,No,0,79,,,,,,Town of Truckee,Town of Truckee,9R02-91101,Local Government,,Rural Reporter,6,,,1,,Nevada,Principal City,,,,,,,"Truckee, Town of",Local Government,http://www.townoftruckee.com,10183 Truckee Airport Road,96161,530-582-2489,Administrative Analyst II,CALACT Member,Kelly Beede,kbeede@townoftruckee.com,Local Government,Local Government,Truckee
Own Website,https://www.cityoftracy.org/government/city-council/council-meeting-videos,No,53,,,,,,,Tracy,City of Tracy,90197,Local Government,85182,Reduced Reporter,13,20,4614693,1,3935,San Joaquin,Small Rural City,,,,,,,"Tracy, City of",Local Government,www.ridetracer.com,50 E 6th Street,95376,209-831-4287,Management Analyst II,CALACT Member,Ed Lovell,ed.lovell@cityoftracy.org,Local Government,Local Government,Tracy
YouTube,https://www.mcagov.org/agendacenter,No,5,24,,,,,,Transit Joint Powers Authority for Merced County,Transit Joint Powers Authority for Merced County,90173,Independent Public Agency,136957,Full Reporter,52,310,12524081,0,2882,Merced,Principal City,Christine Chavez,christine.chavez@mercedthebus.com,10021048,small,CTA Member,,Merced County Transit Joint Powers Authority,Independent Public Agency,http://mercedthebus.com,369 W 18th Street,95340,209-723-3100,Executive Director,CALACT Member,Stacie Guzman,stacie.guzman@mcagov.org,Independent Public Agency,Independent Public Agency,Merced
YouTube,https://www.youtube.com/user/dforslund/featured,No,46,,,,,,,Trinity County,Trinity County,9R02-91035,Local Government,,Rural Reporter,4,,,0,,Trinity,Small Rural City,,,,,,,Trinity County Department of Transportation,Local Government,http://www.trinitytransit.org,PO Box 2490,96093,530-623-1365,Transportation Planner,CALACT Member,Kimiko Taguchi,ktaguchi@trinitycounty.org,Local Government,Local Government,Weaverville
YouTube,https://www.youtube.com/@cityoftulare3805/streams,No,52,,,,,,,Tulare,City of Tulare,90244,Local Government,63515,Full Reporter,10,21,3046436,0,3460,Tulare,Small Rural City,,,,,,,"Tulare, City of",Local or Regional Government Agency,http://www.tulare.ca.gov,411 E Kern Avenue,93274,559-684-4252,Transit Coordinator,CALACT Member,Paul Echevarria,pechevarria@tulare.ca.gov,,Local Government,Tulare
No,,,,,,,,,,Tulare County Area Transit,Tulare County Area Transit,9R02-91055,Independent Public Agency,,Rural Reporter,24,,,1,,Tulare,Principal City,,,,,,,Tulare County Area Transit (TCAT),Independent Public Agency,http://www.co.tulare.ca.us/Government/RMA/Transit,5961 S Mooney Blvd,93277,559-624-7180,Chief Engineer,CALACT Member,Ross Miller,rmiller@tularecounty.ca.gov,Independent Public Agency,Independent Public Agency,Visalia
No,,,,,,,,,,Tulare County Association of Governments (TCAG),Tulare County Association of Governments (TCAG),,MPO/RTPA,,,,4838,,0,,,,,,,,,1982,,,,,,,,,,,,MPO/RTPA,Visalia
No,,,,,,,,,,Tulare County Regional Transit Agency,,,Local Government,,,,,,1,,,,,,,,,,Tulare County Regional Transit Agency,Local or Regional Government Agency,https://tularecog.org,210 N Church Street Ste B,93291,559-623-0452,Executive Director,CALACT Member,Richard Tree,rtree@tularecag.ca.gov,,Local Government,Visalia
Granicus,https://www.tuolumnecounty.ca.gov/745/Board-Meetings,No,39,,,,,,,Tuolumne County Transit,Tuolumne County Transit,9R02-91057,Independent Public Agency,,Rural Reporter,20,,,0,,Tuolumne,Principal City,,,,,,,Tuolumne County Transit Agency,Public Operator,https://www.tuolumnecountytransit.com/,2 S Green Street,95370,209-533-5603,Executive Director,CALACT Member,Darin Grossi,dgrossi@co.tuolumne.ca.us,,Independent Public Agency,Sonora
YouTube,https://www.youtube.com/@CityOfTurlock,No,26,,,,,,,Turlock,City of Turlock,90201,Local Government,87867,Full Reporter,10,22,8282704,0,3874,Stanislaus,Small Rural City,,,,,,,"Turlock, City of",Local Government,http://www.turlocktransit.com,1418 N Golden State Blvd Ste 1,95380,209-669-2800,Transit Manager,CALACT Member,Wayne York,wyork@turlock.ca.us,Local Government,Local Government,Turlock
No,,,,,,,,,,Union City,City of Union City,90161,Local Government,72991,Reduced Reporter,18,18,4871279,0,6266,Alameda,Suburban City,Steve Adams,sadams@unioncity.org,4833111,small,CTA Member,,"Union City, City of",Local Government,http://www.uctransit.org,34009 Alvarado-Niles Road,94587,510-675-5446,Transit Manager,CALACT Member,Steve Adams,sadams@unioncity.org,Local Government,Local Government,Union City
No,,,,,,,,,,"University of California, Davis","University of California, Davis",90142,Other,72611,Full Reporter,35,13,6095562,0,5157,Yolo,Small Rural City,Jeff Flynn,jjflynn@ucdavis.edu,5871117,small,CTA Member,,,,,,,,,,,,,Other,Davis
Granicus,https://www.ci.vacaville.ca.us/government/agendas-and-minutes?locale=en,No,26,,,,,,,Vacaville,City of Vacaville,90155,Local Government,100032,Reduced Reporter,15,27,2700891,0,3398,Solano,Suburban City,,,,,,,"Vacaville, City of",Local Government,citycoach.com,1001 Allison Drive,95687,707-449-6000,Management Analyst II,CALACT Member,Lori DaMassa,lori.damassa@cityofvacaville.com,Local Government,Local Government,Vacaville
